Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area)
2022/9/30 6:40:30,4               ,6,TC,200,2,3,2,9.767740,mg/L,20.620000,0.165961,1.699077,0.339400,1.646029
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,9.650388,20.380000,,50,1.000000,,TC3
2,115,229,115,9.885093,20.860000,,50,1.000000,,TC3
ID,Peak Data
0,   0.030
1,   0.039
2,   0.035
3,   0.039
4,   0.035
5,   0.032
6,   0.047
7,   0.050
8,   0.024
9,   0.018
10,   0.026
11,   0.039
12,   0.035
13,   0.024
14,   0.033
15,   0.117
16,   0.334
17,   0.668
18,   1.167
19,   1.836
20,   2.646
21,   3.570
22,   4.558
23,   5.492
24,   6.412
25,   7.201
26,   7.870
27,   8.379
28,   8.729
29,   8.968
30,   9.087
31,   9.101
32,   9.102
33,   9.009
34,   8.819
35,   8.545
36,   8.202
37,   7.803
38,   7.342
39,   6.819
40,   6.307
41,   5.766
42,   5.239
43,   4.709
44,   4.199
45,   3.727
46,   3.305
47,   2.928
48,   2.608
49,   2.294
50,   2.052
51,   1.820
52,   1.633
53,   1.450
54,   1.298
55,   1.158
56,   1.051
57,   0.959
58,   0.862
59,   0.777
60,   0.700
61,   0.644
62,   0.609
63,   0.531
64,   0.508
65,   0.490
66,   0.430
67,   0.417
68,   0.368
69,   0.355
70,   0.352
71,   0.306
72,   0.289
73,   0.255
74,   0.257
75,   0.232
76,   0.219
77,   0.214
78,   0.201
79,   0.193
80,   0.150
81,   0.154
82,   0.158
83,   0.152
84,   0.130
85,   0.136
86,   0.131
87,   0.126
88,   0.115
89,   0.101
90,   0.104
91,   0.120
92,   0.111
93,   0.094
94,   0.087
95,   0.068
96,   0.081
97,   0.070
98,   0.063
99,   0.074
100,   0.060
101,   0.056
102,   0.054
103,   0.055
104,   0.055
105,   0.038
106,   0.047
107,   0.049
108,   0.038
109,   0.036
110,   0.035
111,   0.039
112,   0.041
113,   0.027
114,   0.041
115,   0.001
116,  -0.026
117,  -0.013
118,   0.004
119,  -0.002
120,   0.020
121,   0.027
122,   0.013
123,   0.016
124,   0.010
125,   0.005
126,   0.002
127,   0.011
128,   0.010
129,   0.026
130,   0.092
131,   0.257
132,   0.579
133,   1.016
134,   1.643
135,   2.388
136,   3.231
137,   4.084
138,   4.911
139,   5.692
140,   6.427
141,   7.026
142,   7.493
143,   7.893
144,   8.175
145,   8.440
146,   8.631
147,   8.732
148,   8.772
149,   8.760
150,   8.715
151,   8.569
152,   8.316
153,   7.983
154,   7.550
155,   7.059
156,   6.549
157,   6.012
158,   5.443
159,   4.885
160,   4.374
161,   3.921
162,   3.482
163,   3.078
164,   2.721
165,   2.412
166,   2.165
167,   1.887
168,   1.685
169,   1.484
170,   1.313
171,   1.180
172,   1.053
173,   0.942
174,   0.871
175,   0.765
176,   0.706
