Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area),TOC（TC-IC)
2022/9/30 10:9:6,4               ,18,IC,200,2,3,2,4.840359,mg/L,7.534500,0.051797,1.070102,0.146300,1.942678,8.469952
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,4.876985,7.638000,,50,1.000000,,IC1
2,115,229,115,4.803733,7.431000,,50,1.000000,,IC1
ID,Peak Data
0,   0.030
1,   0.007
2,   0.000
3,   0.001
4,   0.000
5,  -0.010
6,   0.001
7,  -0.002
8,  -0.013
9,  -0.017
10,  -0.004
11,   0.007
12,   0.046
13,   0.141
14,   0.401
15,   0.901
16,   1.627
17,   2.549
18,   3.606
19,   4.625
20,   5.565
21,   6.266
22,   6.676
23,   6.773
24,   6.749
25,   6.493
26,   5.943
27,   5.227
28,   4.401
29,   3.563
30,   2.791
31,   2.131
32,   1.585
33,   1.181
34,   0.857
35,   0.622
36,   0.452
37,   0.327
38,   0.234
39,   0.193
40,   0.131
41,   0.093
42,   0.082
43,   0.066
44,   0.038
45,   0.038
46,   0.035
47,   0.034
48,   0.017
49,   0.006
50,   0.010
51,   0.011
52,   0.019
53,   0.015
54,   0.014
55,   0.002
56,  -0.014
57,  -0.011
58,  -0.007
59,   0.010
60,  -0.005
61,  -0.023
62,   0.002
63,   0.007
64,  -0.011
65,  -0.023
66,  -0.031
67,  -0.018
68,  -0.007
69,  -0.009
70,  -0.023
71,  -0.013
72,  -0.015
73,  -0.008
74,  -0.014
75,  -0.010
76,  -0.016
77,  -0.016
78,  -0.033
79,  -0.029
80,  -0.032
81,  -0.030
82,  -0.032
83,  -0.030
84,  -0.029
85,  -0.020
86,  -0.027
87,  -0.021
88,  -0.005
89,  -0.007
90,  -0.008
91,  -0.026
92,  -0.017
93,  -0.025
94,  -0.032
95,  -0.041
96,  -0.027
97,  -0.034
98,  -0.033
99,  -0.021
100,  -0.013
101,  -0.020
102,  -0.013
103,  -0.015
104,  -0.045
105,  -0.042
106,  -0.037
107,  -0.022
108,  -0.027
109,  -0.039
110,  -0.042
111,  -0.027
112,  -0.028
113,  -0.027
114,  -0.036
115,   0.007
116,   0.024
117,   0.023
118,   0.018
119,   0.011
120,   0.017
121,   0.005
122,   0.009
123,   0.015
124,   0.005
125,  -0.001
126,   0.010
127,   0.070
128,   0.198
129,   0.470
130,   0.978
131,   1.701
132,   2.608
133,   3.657
134,   4.668
135,   5.552
136,   6.200
137,   6.578
138,   6.643
139,   6.594
140,   6.308
141,   5.755
142,   5.031
143,   4.222
144,   3.399
145,   2.670
146,   2.043
147,   1.549
148,   1.163
149,   0.833
150,   0.595
151,   0.426
152,   0.321
153,   0.250
154,   0.190
155,   0.168
156,   0.130
157,   0.119
158,   0.097
159,   0.088
160,   0.079
161,   0.069
162,   0.066
163,   0.063
164,   0.057
165,   0.044
166,   0.051
167,   0.049
168,   0.040
169,   0.046
170,   0.054
171,   0.032
172,   0.007
173,   0.039
174,   0.033
175,   0.036
176,   0.027
177,   0.020
178,   0.002
179,   0.030
180,   0.035
181,   0.038
182,   0.020
183,   0.019
184,   0.026
185,   0.033
186,   0.041
187,   0.038
188,   0.044
189,   0.030
190,   0.025
191,   0.013
192,   0.030
193,   0.024
194,   0.039
195,   0.022
196,   0.020
197,   0.013
198,   0.019
199,   0.004
200,   0.000
201,   0.019
202,   0.021
203,   0.023
204,   0.030
205,   0.036
206,   0.030
207,   0.019
208,  -0.002
209,   0.015
210,   0.033
211,   0.037
212,   0.046
213,   0.045
214,   0.040
215,   0.017
216,   0.007
217,   0.012
218,   0.024
219,   0.023
220,   0.026
221,   0.023
222,   0.021
223,   0.025
224,   0.021
225,   0.021
226,   0.010
227,  -0.013
228,  -0.004
229,  -0.009
