Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area)
2022/9/30 13:47:19,4               ,31,TC,200,2,3,2,0.005305,mg/L,0.654600,0.013968,263.291382,0.028500,4.364057
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,-0.004572,0.634400,,50,1.000000,,TC3
2,115,229,115,0.015182,0.674800,,50,1.000000,,TC3
ID,Peak Data
0,   0.032
1,   0.009
2,   0.043
3,   0.042
4,   0.007
5,   0.014
6,   0.017
7,   0.014
8,   0.016
9,   0.012
10,   0.001
11,   0.004
12,   0.018
13,   0.011
14,   0.004
15,   0.026
16,   0.032
17,   0.029
18,   0.045
19,   0.074
20,   0.068
21,   0.089
22,   0.128
23,   0.156
24,   0.219
25,   0.243
26,   0.277
27,   0.319
28,   0.334
29,   0.374
30,   0.389
31,   0.404
32,   0.410
33,   0.370
34,   0.357
35,   0.306
36,   0.280
37,   0.267
38,   0.254
39,   0.221
40,   0.205
41,   0.201
42,   0.157
43,   0.153
44,   0.127
45,   0.103
46,   0.126
47,   0.122
48,   0.093
49,   0.088
50,   0.089
51,   0.069
52,   0.067
53,   0.055
54,   0.058
55,   0.058
56,   0.030
57,   0.033
58,   0.041
59,   0.044
60,   0.039
61,   0.040
62,   0.036
63,   0.036
64,   0.026
65,   0.024
66,   0.047
67,   0.030
68,   0.033
69,   0.042
70,   0.028
71,   0.033
72,   0.032
73,   0.033
74,   0.041
75,  -0.004
76,   0.024
77,   0.026
78,  -0.011
79,   0.018
80,   0.027
81,   0.026
82,   0.024
83,   0.014
84,   0.017
85,   0.018
86,   0.027
87,   0.044
88,   0.046
89,   0.033
90,   0.029
91,   0.033
92,   0.028
93,   0.028
94,   0.018
95,   0.013
96,   0.020
97,   0.022
98,   0.012
99,  -0.002
100,  -0.016
101,   0.017
102,   0.007
103,   0.013
104,   0.005
105,   0.001
106,   0.009
107,   0.010
108,   0.008
109,   0.020
110,   0.018
111,   0.028
112,   0.016
113,   0.014
114,   0.009
115,   0.000
116,   0.013
117,   0.010
118,  -0.005
119,  -0.006
120,  -0.008
121,  -0.008
122,  -0.013
123,  -0.001
124,  -0.011
125,  -0.015
126,   0.009
127,   0.008
128,  -0.003
129,   0.002
130,   0.021
131,   0.022
132,   0.015
133,   0.030
134,   0.014
135,   0.024
136,   0.060
137,   0.067
138,   0.123
139,   0.154
140,   0.221
141,   0.248
142,   0.283
143,   0.306
144,   0.337
145,   0.381
146,   0.402
147,   0.383
148,   0.385
149,   0.362
150,   0.336
151,   0.313
152,   0.292
153,   0.277
154,   0.244
155,   0.226
156,   0.188
157,   0.181
158,   0.156
