Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area)
2022/9/30 20:48:26,4               ,56,TC,200,2,3,2,-0.005672,mg/L,0.632100,0.017737,312.711914,0.036200,5.738286
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,-0.018214,0.606500,,50,1.000000,,TC3
2,115,229,115,0.006870,0.657800,,50,1.000000,,TC3
ID,Peak Data
0,   0.006
1,   0.010
2,   0.001
3,   0.021
4,   0.018
5,   0.011
6,   0.013
7,   0.019
8,   0.018
9,   0.024
10,   0.014
11,   0.015
12,   0.023
13,   0.024
14,   0.042
15,   0.034
16,   0.017
17,   0.027
18,   0.046
19,   0.033
20,   0.045
21,   0.097
22,   0.123
23,   0.166
24,   0.201
25,   0.266
26,   0.295
27,   0.329
28,   0.376
29,   0.396
30,   0.416
31,   0.435
32,   0.445
33,   0.407
34,   0.404
35,   0.376
36,   0.365
37,   0.318
38,   0.277
39,   0.224
40,   0.211
41,   0.201
42,   0.185
43,   0.162
44,   0.158
45,   0.126
46,   0.117
47,   0.103
48,   0.097
49,   0.073
50,   0.075
51,   0.076
52,   0.072
53,   0.056
54,   0.077
55,   0.074
56,   0.052
57,   0.054
58,   0.052
59,   0.057
60,   0.060
61,   0.058
62,   0.025
63,   0.046
64,   0.077
65,   0.058
66,   0.076
67,   0.072
68,   0.063
69,   0.039
70,   0.045
71,   0.029
72,   0.032
73,   0.037
74,   0.041
75,   0.053
76,   0.053
77,   0.061
78,   0.061
79,   0.046
80,   0.049
81,   0.036
82,   0.027
83,   0.048
84,   0.049
85,   0.061
86,   0.034
87,   0.048
88,   0.050
89,   0.062
90,   0.060
91,   0.029
92,   0.026
93,   0.029
94,   0.030
95,   0.021
96,   0.035
97,   0.039
98,   0.043
99,   0.014
100,   0.042
101,   0.039
102,   0.017
103,   0.010
104,   0.020
105,   0.032
106,   0.030
107,   0.029
108,   0.032
109,   0.045
110,   0.029
111,   0.033
112,   0.052
113,   0.045
114,   0.040
115,  -0.016
116,  -0.006
117,  -0.016
118,   0.001
119,  -0.005
120,  -0.023
121,  -0.027
122,  -0.036
123,  -0.036
124,  -0.011
125,  -0.010
126,  -0.014
127,  -0.002
128,   0.005
129,  -0.020
130,  -0.016
131,  -0.015
132,  -0.008
133,  -0.010
134,  -0.005
135,   0.036
