Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area),TOC（TC-IC)
2022/10/1 0:7:50,4               ,68,IC,200,3,3,3,4.879285,mg/L,7.644500,0.011260,0.230771,0.031800,0.416244,-4.972140
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,4.966161,7.890000,,50,1.000000,E,IC1
2,115,229,115,4.887247,7.667000,,50,1.000000,,IC1
3,230,344,115,4.871323,7.622000,,50,1.000000,,IC1
ID,Peak Data
0,   0.037
1,   0.021
2,   0.022
3,   0.029
4,   0.027
5,   0.001
6,  -0.007
7,  -0.002
8,  -0.009
9,  -0.017
10,  -0.013
11,  -0.011
12,   0.029
13,   0.166
14,   0.449
15,   0.938
16,   1.649
17,   2.620
18,   3.696
19,   4.746
20,   5.709
21,   6.456
22,   6.872
23,   6.979
24,   6.968
25,   6.675
26,   6.133
27,   5.393
28,   4.549
29,   3.728
30,   2.941
31,   2.261
32,   1.705
33,   1.278
34,   0.932
35,   0.713
36,   0.499
37,   0.411
38,   0.340
39,   0.247
40,   0.214
41,   0.170
42,   0.114
43,   0.105
44,   0.111
45,   0.104
46,   0.092
47,   0.077
48,   0.073
49,   0.082
50,   0.079
51,   0.055
52,   0.063
53,   0.075
54,   0.077
55,   0.076
56,   0.048
57,   0.042
58,   0.041
59,   0.049
60,   0.048
61,   0.045
62,   0.027
63,   0.037
64,   0.044
65,   0.037
66,   0.036
67,   0.039
68,   0.030
69,   0.027
70,   0.008
71,   0.008
72,   0.026
73,   0.024
74,  -0.001
75,   0.021
76,   0.020
77,   0.010
78,   0.013
79,  -0.011
80,  -0.001
81,   0.014
82,   0.001
83,   0.004
84,  -0.021
85,  -0.008
86,  -0.005
87,   0.002
88,  -0.005
89,   0.002
90,   0.013
91,   0.014
92,   0.016
93,   0.013
94,   0.015
95,   0.011
96,   0.015
97,   0.030
98,   0.029
99,   0.027
100,   0.020
101,   0.009
102,   0.021
103,   0.011
104,   0.007
105,  -0.004
106,  -0.006
107,   0.019
108,   0.015
109,   0.014
110,   0.018
111,   0.014
112,   0.010
113,  -0.002
114,   0.036
115,   0.023
116,   0.024
117,   0.020
118,   0.009
119,   0.017
120,   0.010
121,   0.009
122,  -0.002
123,  -0.004
124,   0.002
125,   0.020
126,   0.024
127,   0.016
128,   0.119
129,   0.339
130,   0.775
131,   1.467
132,   2.325
133,   3.327
134,   4.369
135,   5.347
136,   6.110
137,   6.625
138,   6.809
139,   6.805
140,   6.620
141,   6.142
142,   5.466
143,   4.665
144,   3.828
145,   3.058
146,   2.347
147,   1.790
148,   1.315
149,   0.975
150,   0.718
151,   0.515
152,   0.381
153,   0.267
154,   0.228
155,   0.181
156,   0.134
157,   0.113
158,   0.089
159,   0.090
160,   0.086
161,   0.092
162,   0.097
163,   0.067
164,   0.060
165,   0.054
166,   0.056
167,   0.055
168,   0.057
169,   0.046
170,   0.051
171,   0.047
172,   0.061
173,   0.053
174,   0.040
175,   0.045
176,   0.038
177,   0.035
178,   0.026
179,   0.013
180,   0.026
181,   0.009
182,   0.019
183,   0.010
184,   0.026
185,   0.017
186,   0.012
187,   0.017
188,   0.021
189,   0.020
190,   0.009
191,   0.011
192,   0.013
193,   0.012
194,   0.013
195,  -0.002
196,  -0.008
197,   0.016
198,   0.032
199,   0.022
200,   0.012
201,   0.023
202,   0.003
203,   0.010
204,   0.007
205,   0.025
206,   0.005
207,   0.002
208,   0.031
209,   0.021
210,   0.029
211,   0.011
212,   0.018
213,   0.025
214,   0.021
215,   0.024
216,   0.004
217,   0.018
218,  -0.008
219,  -0.004
220,   0.009
221,   0.034
222,   0.025
223,   0.004
224,   0.005
225,   0.000
226,  -0.002
227,   0.005
228,   0.004
229,   0.000
230,   0.000
231,   0.011
232,   0.010
233,   0.013
234,   0.008
235,   0.021
236,   0.014
237,   0.009
238,   0.017
239,   0.017
240,   0.027
241,   0.029
242,   0.014
243,   0.086
244,   0.243
245,   0.602
246,   1.181
247,   2.006
248,   2.980
249,   4.032
250,   5.040
251,   5.846
252,   6.445
253,   6.727
254,   6.743
255,   6.639
256,   6.255
257,   5.627
258,   4.863
259,   4.051
260,   3.257
261,   2.522
262,   1.923
263,   1.442
264,   1.087
265,   0.785
266,   0.560
267,   0.424
268,   0.319
269,   0.241
270,   0.206
271,   0.176
272,   0.150
273,   0.138
274,   0.131
275,   0.100
276,   0.097
277,   0.094
278,   0.099
279,   0.086
280,   0.066
281,   0.066
282,   0.075
283,   0.048
284,   0.057
285,   0.055
286,   0.035
287,   0.037
288,   0.043
289,   0.040
290,   0.014
291,   0.038
292,   0.049
293,   0.050
294,   0.023
295,   0.048
296,   0.026
297,   0.036
298,   0.030
299,   0.049
300,   0.051
301,   0.046
302,   0.041
303,   0.041
304,   0.039
305,   0.031
306,   0.036
307,   0.035
308,   0.033
309,   0.024
310,   0.027
311,   0.018
312,   0.035
313,   0.032
314,   0.042
315,   0.039
316,   0.018
317,   0.021
318,   0.011
319,   0.016
320,   0.045
321,   0.030
322,   0.014
323,   0.016
324,   0.004
325,  -0.002
326,   0.023
327,   0.008
