Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area)
2022/10/1 3:50:16,4               ,81,TC,200,2,3,2,-0.084274,mg/L,0.471400,0.009750,11.569723,0.019900,4.230041
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,-0.077379,0.485500,,50,1.000000,,TC3
2,115,229,115,-0.091168,0.457300,,50,1.000000,,TC3
ID,Peak Data
0,   0.004
1,   0.008
2,   0.001
3,   0.016
4,  -0.002
5,  -0.019
6,  -0.008
7,  -0.007
8,  -0.004
9,   0.002
10,  -0.032
11,  -0.021
12,  -0.017
13,  -0.021
14,  -0.036
15,  -0.009
16,  -0.015
17,  -0.048
18,  -0.042
19,  -0.034
20,  -0.005
21,   0.022
22,   0.043
23,   0.075
24,   0.088
25,   0.128
26,   0.181
27,   0.189
28,   0.252
29,   0.268
30,   0.275
31,   0.277
32,   0.280
33,   0.259
34,   0.259
35,   0.241
36,   0.222
37,   0.194
38,   0.176
39,   0.147
40,   0.133
41,   0.107
42,   0.093
43,   0.058
44,   0.036
45,   0.041
46,   0.036
47,   0.005
48,   0.014
49,  -0.021
50,  -0.018
51,  -0.025
52,  -0.027
53,  -0.032
54,  -0.020
55,  -0.045
56,  -0.022
57,  -0.031
58,  -0.027
59,  -0.028
60,  -0.029
61,  -0.051
62,  -0.034
63,  -0.041
64,  -0.030
65,  -0.030
66,  -0.043
67,  -0.042
68,  -0.048
69,  -0.044
70,  -0.041
71,  -0.048
72,  -0.041
73,  -0.040
74,  -0.044
75,  -0.050
76,  -0.049
77,  -0.055
78,  -0.060
79,  -0.048
80,  -0.041
81,  -0.061
82,  -0.066
83,  -0.033
84,  -0.028
85,  -0.066
86,  -0.032
87,  -0.032
88,  -0.013
89,  -0.038
90,  -0.024
91,  -0.038
92,  -0.033
93,  -0.064
94,  -0.042
95,  -0.039
96,  -0.072
97,  -0.069
98,  -0.058
99,  -0.063
100,  -0.060
101,  -0.058
102,  -0.048
103,  -0.048
104,  -0.038
105,  -0.028
106,  -0.048
107,  -0.036
108,  -0.021
109,  -0.035
110,  -0.046
111,  -0.053
112,  -0.026
113,  -0.021
114,  -0.026
115,  -0.014
116,   0.002
117,   0.002
118,   0.001
119,   0.007
120,   0.012
121,  -0.005
122,  -0.014
123,  -0.023
124,  -0.026
125,   0.002
126,   0.002
127,   0.002
128,   0.002
129,  -0.004
130,  -0.020
131,  -0.009
132,  -0.017
133,   0.018
134,   0.029
135,   0.041
136,   0.063
137,   0.054
138,   0.089
139,   0.135
140,   0.142
141,   0.208
142,   0.227
143,   0.249
144,   0.277
145,   0.272
146,   0.297
147,   0.286
148,   0.261
149,   0.251
150,   0.240
151,   0.203
152,   0.185
153,   0.176
154,   0.164
155,   0.138
156,   0.121
157,   0.114
158,   0.085
159,   0.077
160,   0.067
161,   0.047
162,   0.029
163,   0.027
164,   0.004
165,   0.017
166,   0.004
167,   0.003
168,   0.042
169,   0.022
170,   0.021
171,  -0.001
172,   0.003
173,  -0.013
174,   0.004
175,   0.010
176,   0.020
177,   0.008
178,  -0.009
179,  -0.007
180,  -0.011
181,  -0.001
182,  -0.015
183,  -0.010
184,   0.007
185,   0.002
186,  -0.010
187,  -0.011
188,  -0.013
189,  -0.007
190,  -0.014
191,  -0.019
192,  -0.019
193,  -0.033
194,  -0.027
195,  -0.029
196,  -0.021
197,  -0.011
198,   0.008
199,   0.013
200,  -0.011
201,  -0.008
202,  -0.011
203,  -0.014
204,  -0.002
205,  -0.016
206,  -0.029
207,  -0.027
208,  -0.013
209,  -0.011
210,  -0.024
211,  -0.026
212,  -0.042
213,  -0.036
214,  -0.004
215,  -0.007
216,  -0.018
217,  -0.024
218,  -0.020
219,  -0.030
220,  -0.015
221,  -0.012
222,  -0.020
223,  -0.021
224,  -0.031
225,  -0.027
226,  -0.046
227,  -0.052
228,  -0.038
229,  -0.041
Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area),TOC（TC-IC)
2022/10/1 3:50:16,4               ,81,IC,200,3,3,3,4.872561,mg/L,7.625500,0.005755,0.118115,0.016200,0.213277,-4.956835
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,4.971469,7.905000,,50,1.000000,E,IC1
2,115,229,115,4.876631,7.637000,,50,1.000000,,IC1
3,230,344,115,4.868492,7.614000,,50,1.000000,,IC1
ID,Peak Data
0,   0.006
1,   0.005
2,   0.007
3,   0.016
4,   0.010
5,   0.005
6,   0.007
7,  -0.002
8,   0.002
9,   0.021
10,   0.019
11,   0.015
12,   0.049
13,   0.129
14,   0.348
15,   0.766
16,   1.453
17,   2.355
18,   3.377
19,   4.458
20,   5.471
21,   6.283
22,   6.782
23,   6.977
24,   6.983
25,   6.824
26,   6.333
27,   5.633
28,   4.801
29,   3.945
30,   3.129
31,   2.443
32,   1.845
33,   1.388
34,   1.029
35,   0.769
36,   0.564
37,   0.445
38,   0.341
39,   0.272
40,   0.223
41,   0.175
42,   0.147
43,   0.130
44,   0.124
45,   0.110
46,   0.108
47,   0.093
48,   0.092
49,   0.095
50,   0.101
51,   0.076
52,   0.084
53,   0.072
54,   0.062
55,   0.070
56,   0.055
57,   0.044
58,   0.035
59,   0.053
60,   0.042
61,   0.047
62,   0.048
63,   0.027
64,   0.026
65,   0.026
66,   0.016
67,   0.010
68,   0.008
69,   0.013
70,   0.020
71,   0.014
72,   0.026
73,   0.029
74,   0.033
75,   0.041
76,   0.045
77,   0.040
78,   0.024
79,   0.026
80,   0.029
81,   0.027
82,   0.023
83,   0.015
84,   0.006
85,   0.010
86,   0.018
87,   0.020
88,   0.020
89,   0.017
90,   0.031
91,   0.014
92,   0.013
93,   0.005
94,   0.005
95,   0.018
96,   0.011
97,   0.005
98,   0.020
99,   0.019
100,   0.026
101,   0.031
102,   0.025
103,   0.002
104,   0.023
105,   0.017
106,   0.005
107,   0.014
108,   0.016
109,  -0.001
110,  -0.004
111,   0.016
112,   0.024
113,   0.023
114,   0.005
115,  -0.008
116,   0.021
117,   0.012
118,  -0.005
119,   0.011
120,   0.007
121,   0.001
122,   0.007
123,  -0.001
124,  -0.007
125,  -0.041
126,  -0.012
127,   0.022
128,   0.123
129,   0.348
130,   0.789
131,   1.428
132,   2.328
133,   3.369
134,   4.429
135,   5.397
136,   6.140
137,   6.630
138,   6.778
139,   6.773
140,   6.581
141,   6.082
142,   5.394
143,   4.571
144,   3.741
145,   2.962
146,   2.305
147,   1.730
148,   1.293
149,   0.955
150,   0.714
151,   0.530
152,   0.389
153,   0.286
154,   0.237
155,   0.171
156,   0.135
157,   0.111
158,   0.114
159,   0.089
160,   0.076
161,   0.079
162,   0.068
163,   0.052
164,   0.040
165,   0.043
166,   0.053
167,   0.048
168,   0.044
169,   0.025
170,   0.029
171,   0.019
172,   0.027
173,   0.036
174,   0.060
175,   0.056
176,   0.040
177,   0.052
178,   0.033
179,   0.024
180,   0.038
181,   0.039
182,   0.027
183,   0.024
184,   0.039
185,   0.042
186,   0.046
187,   0.049
188,   0.046
189,   0.059
190,   0.033
191,   0.038
192,   0.038
193,   0.024
194,   0.024
195,   0.023
196,   0.010
197,   0.022
198,   0.023
199,   0.005
200,   0.020
201,   0.021
202,   0.013
203,   0.001
204,  -0.002
205,   0.018
206,   0.023
207,   0.009
208,   0.002
209,   0.008
210,  -0.021
211,   0.004
212,  -0.011
213,  -0.006
214,   0.004
215,   0.007
216,  -0.008
217,  -0.018
218,  -0.010
219,  -0.020
220,  -0.015
221,  -0.015
222,  -0.018
223,  -0.021
224,   0.006
225,  -0.006
226,   0.010
227,   0.018
228,   0.015
229,   0.010
230,  -0.019
231,  -0.019
232,  -0.012
233,  -0.010
234,  -0.023
235,  -0.030
236,  -0.011
237,  -0.007
238,  -0.015
239,  -0.017
240,  -0.022
241,  -0.010
242,   0.008
243,   0.132
244,   0.340
245,   0.752
246,   1.423
247,   2.268
248,   3.276
249,   4.296
250,   5.261
251,   6.023
252,   6.515
253,   6.679
254,   6.683
255,   6.514
256,   6.068
257,   5.384
258,   4.588
259,   3.784
260,   2.997
261,   2.320
262,   1.740
263,   1.299
264,   0.966
265,   0.736
266,   0.541
267,   0.420
268,   0.291
269,   0.259
270,   0.209
271,   0.170
272,   0.134
273,   0.116
274,   0.119
275,   0.117
276,   0.087
277,   0.075
278,   0.083
279,   0.070
280,   0.076
281,   0.075
282,   0.063
283,   0.047
284,   0.049
285,   0.046
286,   0.054
287,   0.047
288,   0.033
289,   0.032
290,   0.035
291,   0.035
292,   0.030
293,   0.040
294,   0.036
295,   0.037
296,   0.039
297,   0.026
298,   0.032
299,   0.023
300,   0.006
301,   0.028
302,   0.033
303,   0.033
304,   0.032
305,   0.041
306,   0.021
307,   0.011
308,   0.005
309,   0.010
310,   0.002
311,  -0.006
312,  -0.008
313,  -0.004
314,   0.010
315,   0.015
316,   0.019
317,   0.023
318,   0.010
319,   0.011
320,   0.019
321,   0.014
322,  -0.005
323,  -0.015
324,  -0.004
325,   0.006
326,   0.015
327,   0.028
328,   0.011
329,   0.009
330,   0.008
