Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area),TOC（TC-IC)
2022/12/11 5:46:12,4               ,23,IC,800,1,1,1,-1.526921,mg/L,19.370000,0.000000,0.000000,0.000000,0.000000,23.943779
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,-1.526921,19.370000,,800,1.000000,,IC2
ID,Peak Data
0,   0.023
1,   0.018
2,   0.008
3,   0.017
4,   0.011
5,  -0.011
6,  -0.008
7,  -0.013
8,  -0.009
9,  -0.008
10,  -0.018
11,  -0.019
12,  -0.002
13,  -0.005
14,   0.084
15,   0.212
16,   0.538
17,   1.093
18,   1.915
19,   3.082
20,   4.481
21,   6.034
22,   7.644
23,   9.151
24,  10.494
25,  11.479
26,  12.069
27,  12.254
28,  12.247
29,  12.000
30,  11.425
31,  10.613
32,   9.666
33,   8.645
34,   7.677
35,   6.772
36,   5.954
37,   5.184
38,   4.501
39,   3.915
40,   3.414
41,   2.975
42,   2.596
43,   2.272
44,   1.991
45,   1.728
46,   1.522
47,   1.333
48,   1.178
49,   1.057
50,   0.927
51,   0.809
52,   0.727
53,   0.644
54,   0.574
55,   0.509
56,   0.471
57,   0.433
58,   0.364
59,   0.354
60,   0.302
61,   0.244
62,   0.232
63,   0.222
64,   0.201
65,   0.206
66,   0.174
67,   0.150
68,   0.132
69,   0.136
70,   0.107
71,   0.092
72,   0.099
73,   0.100
74,   0.071
75,   0.077
76,   0.045
77,   0.052
78,   0.050
79,   0.042
80,   0.048
81,   0.051
82,   0.026
83,   0.021
84,   0.009
85,   0.008
86,   0.008
87,   0.014
88,   0.018
89,   0.004
90,  -0.005
91,   0.005
92,  -0.007
93,   0.010
94,   0.031
95,   0.005
96,  -0.004
97,   0.001
98,   0.002
99,  -0.007
100,  -0.010
101,  -0.001
102,   0.011
103,   0.019
104,   0.001
105,   0.010
106,   0.020
107,   0.016
108,   0.008
109,  -0.004
110,  -0.005
111,  -0.018
112,  -0.002
113,   0.001
114,  -0.008
Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area)
2022/12/11 5:55:48,4               ,24,TC,800,1,1,1,19.545853,mg/L,43.270000,0.000000,0.000000,0.000000,0.000000
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,126,127,19.545853,43.270000,,50,1.000000,,TC3
ID,Peak Data
0,   0.013
1,   0.027
2,   0.028
3,   0.008
4,   0.015
5,   0.017
6,   0.018
7,   0.034
8,   0.023
9,  -0.013
10,   0.023
11,   0.028
12,   0.027
13,   0.023
14,   0.025
15,   0.065
16,   0.220
17,   0.622
18,   1.300
19,   2.356
20,   3.682
21,   5.214
22,   6.845
23,   8.466
24,  10.034
25,  11.411
26,  12.568
27,  13.470
28,  14.135
29,  14.686
30,  15.125
31,  15.576
32,  16.021
33,  16.424
34,  16.815
35,  17.120
36,  17.313
37,  17.349
38,  17.332
39,  17.106
40,  16.658
41,  15.991
42,  15.136
43,  14.121
44,  12.975
45,  11.797
46,  10.590
47,   9.427
48,   8.298
49,   7.305
50,   6.381
51,   5.563
52,   4.841
53,   4.182
54,   3.622
55,   3.133
56,   2.703
57,   2.338
58,   2.039
59,   1.782
60,   1.560
61,   1.401
62,   1.243
63,   1.118
64,   0.978
65,   0.877
66,   0.796
67,   0.736
68,   0.685
69,   0.637
70,   0.587
71,   0.559
72,   0.509
73,   0.487
74,   0.433
75,   0.396
76,   0.382
77,   0.370
78,   0.347
79,   0.345
80,   0.314
81,   0.306
82,   0.287
83,   0.281
84,   0.259
85,   0.246
86,   0.257
87,   0.253
88,   0.243
89,   0.228
90,   0.231
91,   0.220
92,   0.224
93,   0.218
94,   0.192
95,   0.179
96,   0.177
97,   0.178
98,   0.169
99,   0.166
100,   0.151
101,   0.142
102,   0.144
103,   0.152
104,   0.131
105,   0.139
106,   0.143
107,   0.141
108,   0.145
109,   0.128
110,   0.118
111,   0.129
112,   0.135
113,   0.117
114,   0.113
115,   0.101
