Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area)
2022/12/11 11:47:40,4               ,61,TC,800,1,1,1,6.598281,mg/L,15.580000,0.000000,0.000000,0.000000,0.000000
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,6.598281,15.580000,,50,1.000000,,TC3
ID,Peak Data
0,   0.017
1,   0.010
2,   0.010
3,  -0.001
4,  -0.002
5,   0.020
6,   0.032
7,   0.020
8,   0.003
9,  -0.001
10,   0.001
11,   0.017
12,   0.027
13,   0.024
14,   0.015
15,   0.043
16,   0.164
17,   0.358
18,   0.735
19,   1.215
20,   1.889
21,   2.601
22,   3.367
23,   4.112
24,   4.790
25,   5.344
26,   5.759
27,   6.020
28,   6.158
29,   6.209
30,   6.216
31,   6.190
32,   6.154
33,   6.092
34,   6.035
35,   5.980
36,   5.943
37,   5.856
38,   5.764
39,   5.599
40,   5.366
41,   5.091
42,   4.771
43,   4.420
44,   4.047
45,   3.665
46,   3.285
47,   2.915
48,   2.576
49,   2.252
50,   1.955
51,   1.702
52,   1.463
53,   1.275
54,   1.119
55,   0.960
56,   0.832
57,   0.702
58,   0.634
59,   0.542
60,   0.457
61,   0.420
62,   0.370
63,   0.334
64,   0.302
65,   0.249
66,   0.209
67,   0.182
68,   0.179
69,   0.152
70,   0.152
71,   0.149
72,   0.132
73,   0.126
74,   0.116
75,   0.122
76,   0.088
77,   0.103
78,   0.096
79,   0.091
80,   0.075
81,   0.079
82,   0.075
83,   0.065
84,   0.070
85,   0.072
86,   0.063
87,   0.061
88,   0.066
89,   0.052
90,   0.064
91,   0.059
92,   0.040
93,   0.046
94,   0.035
95,   0.043
96,   0.041
97,   0.042
98,   0.034
99,   0.036
100,   0.032
101,   0.027
102,   0.027
103,   0.007
104,   0.002
105,  -0.009
106,  -0.002
107,   0.013
108,   0.011
109,   0.015
110,   0.015
111,   0.018
112,   0.008
113,   0.016
114,   0.013
Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area),TOC（TC-IC)
2022/12/11 11:47:40,4               ,61,IC,800,1,1,1,-1.333180,mg/L,23.580000,0.000000,0.000000,0.000000,0.000000,7.931461
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,114,115,-1.333180,23.580000,,800,1.000000,,IC2
ID,Peak Data
0,  -0.009
1,  -0.018
2,  -0.011
3,  -0.001
4,   0.007
5,   0.012
6,   0.017
7,   0.011
8,   0.018
9,   0.012
10,   0.015
11,   0.008
12,   0.023
13,   0.040
14,   0.135
15,   0.321
16,   0.662
17,   1.296
18,   2.230
19,   3.498
20,   5.009
21,   6.681
22,   8.347
23,   9.958
24,  11.335
25,  12.357
26,  12.998
27,  13.175
28,  13.176
29,  12.977
30,  12.428
31,  11.683
32,  10.773
33,   9.820
34,   8.857
35,   7.947
36,   7.111
37,   6.310
38,   5.614
39,   4.991
40,   4.438
41,   3.977
42,   3.578
43,   3.226
44,   2.938
45,   2.680
46,   2.461
47,   2.244
48,   2.089
49,   1.919
50,   1.761
51,   1.645
52,   1.543
53,   1.409
54,   1.288
55,   1.208
56,   1.100
57,   1.029
58,   0.972
59,   0.891
60,   0.836
