Date,Sample Name,VialNo,Meas Mode,Peak Scale,Inj#,Max Inj#,Inj. Counts,Ave. Conc,Unit,Ave. Area,SD(Conc),CV(Conc),SD(Area),CV(Area),TOC（TC-IC)
2022/12/10 11:43:2,4               ,64,IC,800,1,1,1,0.695169,mg/L,26.690000,0.000000,0.000000,0.000000,0.000000,6.662591
Injection #,Start ID,End ID,Data Counts,Conc,Area,Remark,Inj. Vol.,Dil. Factor,Ex.,Cal#
1,0,145,146,0.695169,26.690000,,800,1.000000,,IC2
ID,Peak Data
0,   0.001
1,   0.005
2,   0.007
3,   0.011
4,   0.001
5,   0.009
6,   0.024
7,   0.010
8,   0.002
9,  -0.015
10,  -0.010
11,  -0.001
12,   0.001
13,   0.054
14,   0.126
15,   0.290
16,   0.657
17,   1.221
18,   2.061
19,   3.160
20,   4.487
21,   5.958
22,   7.471
23,   8.914
24,  10.212
25,  11.242
26,  11.944
27,  12.298
28,  12.359
29,  12.307
30,  11.994
31,  11.469
32,  10.799
33,  10.060
34,   9.285
35,   8.476
36,   7.756
37,   7.048
38,   6.413
39,   5.825
40,   5.303
41,   4.839
42,   4.409
43,   4.005
44,   3.694
45,   3.405
46,   3.098
47,   2.860
48,   2.653
49,   2.468
50,   2.317
51,   2.159
52,   2.025
53,   1.910
54,   1.808
55,   1.695
56,   1.602
57,   1.527
58,   1.473
59,   1.399
60,   1.335
61,   1.296
62,   1.227
63,   1.209
64,   1.142
65,   1.110
66,   1.076
67,   1.049
68,   1.022
69,   0.996
70,   0.964
71,   0.933
72,   0.911
73,   0.907
74,   0.841
75,   0.836
76,   0.824
77,   0.823
78,   0.795
79,   0.761
80,   0.729
81,   0.737
82,   0.706
83,   0.675
84,   0.661
85,   0.666
86,   0.665
87,   0.646
88,   0.643
89,   0.625
90,   0.619
91,   0.616
92,   0.609
93,   0.612
94,   0.594
95,   0.569
96,   0.566
97,   0.563
98,   0.548
99,   0.535
100,   0.512
101,   0.498
102,   0.491
103,   0.485
104,   0.472
105,   0.473
106,   0.468
107,   0.458
108,   0.462
109,   0.458
110,   0.448
111,   0.426
112,   0.444
113,   0.450
114,   0.453
115,   0.459
116,   0.465
117,   0.453
118,   0.435
119,   0.439
120,   0.432
121,   0.448
122,   0.443
123,   0.435
124,   0.418
125,   0.420
126,   0.419
127,   0.426
128,   0.436
129,   0.429
130,   0.439
131,   0.447
132,   0.432
133,   0.414
134,   0.415
135,   0.381
